,ticker,currency,financialCurrency,fullExchangeName,longName,shortName,exchangeTimezoneName,marketCap,price,MarketCapCurrencyRatesToUSD,FinancalCurrencyRatesToUSD,marketCap_USD,price_USD,fullTimeEmployees,city,country,totalRevenue2021*,totalRevenue2020,totalRevenue2019,totalRevenue2018,totalRevenue2017,netIncome2021*,netIncome2020,netIncome2019,netIncome2018,netIncome2017,researchDevelopment2021*,researchDevelopment2020,researchDevelopment2019,researchDevelopment2018,researchDevelopment2017,sharesOutstanding,totalRevenue2021*_USD,totalRevenue2020_USD,totalRevenue2019_USD,totalRevenue2018_USD,totalRevenue2017_USD,netIncome2021*_USD,netIncome2020_USD,netIncome2019_USD,netIncome2018_USD,netIncome2017_USD,researchDevelopment2021*_USD,researchDevelopment2020_USD,researchDevelopment2019_USD,researchDevelopment2018_USD,researchDevelopment2017_USD
0,688333.SS,CNY,CNY,Shanghai,"Xi'an Bright Laser Technologies Co.,Ltd.",XI'AN BRIGHT LASER TECHNOLOGIES,Asia/Shanghai,12910434304,159.8,6.376474762707354,6.376474762707354,2024697781.210762,25.060869202303778,733.0,Xi'an,China,518942059.0,412168053.0,321742830.0,291479177.0,219948300.0,-20220169.0,86702290.0,74268629.0,57183580.0,34255400.0,99245791.0,68230484.0,42034265.0,25610014.0,23252500.0,80000000,81383848.96228541,64638858.98373723,50457790.85988147,45711649.12385576,34493714.502935365,-3171057.638031774,13597213.699813582,11647286.590759857,8967898.741548648,5372153.309590718,15564366.627848418,10700345.651651317,6592085.213892212,4016327.9794941708,3646607.3912801533
1,DDD,USD,USD,NYSE,3D Systems Corporation,3D Systems Corporation,America/New_York,2059037568,16.03,1.0,1.0,2059037568.0,16.03,1995.0,Rock Hill,United States,640097000.0,557240000.0,636354000.0,691545000.0,646069000.0,308422000.0,-149594000.0,-69880000.0,-45505000.0,-66191000.0,69023000.0,74143000.0,83290000.0,95298000.0,94627000.0,128449000,640097000.0,557240000.0,636354000.0,691545000.0,646069000.0,308422000.0,-149594000.0,-69880000.0,-45505000.0,-66191000.0,69023000.0,74143000.0,83290000.0,95298000.0,94627000.0
2,DM,USD,USD,NYSE,"Desktop Metal, Inc.","Desktop Metal, Inc.",America/New_York,1091659136,3.51,1.0,1.0,1091659136.0,3.51,202.0,Burlington,United States,64097000.0,16470000.0,26439000.0,1034000.0,,-138155000.0,-34015000.0,-103596000.0,-121339000.0,,57594000.0,43136000.0,54656000.0,59607000.0,,311014016,64097000.0,16470000.0,26439000.0,1034000.0,,-138155000.0,-34015000.0,-103596000.0,-121339000.0,,57594000.0,43136000.0,54656000.0,59607000.0,
3,SSYS,USD,USD,NasdaqGS,Stratasys Ltd.,"Stratasys, Ltd.",America/New_York,1379389696,21.07,1.0,1.0,1379389696.0,21.07,1981.0,Eden Prairie,United States,582598000.0,520817000.0,636080000.0,663237000.0,668362000.0,-46116000.0,-443721000.0,-10849000.0,-10964000.0,-39981000.0,84636000.0,84012000.0,94253000.0,98964000.0,96237000.0,65467000,582598000.0,520817000.0,636080000.0,663237000.0,668362000.0,-46116000.0,-443721000.0,-10849000.0,-10964000.0,-39981000.0,84636000.0,84012000.0,94253000.0,98964000.0,96237000.0
4,VJET,USD,EUR,NasdaqCM,voxeljet AG,voxeljet AG,America/New_York,33376872,4.75,1.0,0.8870753126940477,33376872.0,4.75,251.0,Friedberg,Germany,22800000.0,21567000.0,24602000.0,26009000.0,23178000.0,-15211000.0,-15339000.0,-13714000.0,-8711000.0,-8538000.0,6535000.0,6500000.0,7183000.0,6334000.0,5528000.0,7026710,25702440.0,24312479.1,27733834.6,29319945.7,26128559.4,-17147360.3,-17291654.7,-15459792.200000001,-9819910.3,-9624887.4,7366905.5,7327450.0,8097395.9,7140318.2,6231714.4
5,NNDM,USD,USD,NasdaqCM,Nano Dimension Ltd.,Nano Dimension Ltd.,America/New_York,831024320,3.24,1.0,1.0,831024320.0,3.24,92.0,Ness Ziona,Israel,4933000.0,3399000.0,7070000.0,5100000.0,829000.0,-58592000.0,-48494000.0,-8353000.0,-15488000.0,-17503000.0,30312000.0,9878000.0,8082000.0,8623000.0,10819000.0,256488992,4933000.0,3399000.0,7070000.0,5100000.0,829000.0,-58592000.0,-48494000.0,-8353000.0,-15488000.0,-17503000.0,30312000.0,9878000.0,8082000.0,8623000.0,10819000.0
6,ONVO,USD,USD,NasdaqCM,"Organovo Holdings, Inc.","Organovo Holdings, Inc.",America/New_York,23852934,2.74,1.0,1.0,23852934.0,2.74,11.0,Solana Beach,United States,,,,,,-11144000.0,,,,,,,,,,8705450,,,,,,-11144000.0,,,,,,,,,
7,SHPW,USD,USD,NYSE,"Shapeways Holdings, Inc.","Shapeways Holdings, Inc.",America/New_York,145855424,3.02,1.0,1.0,145855424.0,3.02,,Long Island City,United States,,31775000.0,33511000.0,,,,-3168000.0,-6973000.0,,,,5592000.0,5246000.0,,,48296500,,31775000.0,33511000.0,,,,-3168000.0,-6973000.0,,,,5592000.0,5246000.0,,
8,MKFG,USD,USD,NYSE,Markforged Holding Corporation,Markforged Holding Corporation,America/New_York,786149760,4.23,1.0,1.0,786149760.0,4.23,350.0,Watertown,United States,,71851000.0,72549000.0,,,,-17985000.0,-29875000.0,,,,17176000.0,20270000.0,,,185851008,,71851000.0,72549000.0,,,,-17985000.0,-29875000.0,,,,17176000.0,20270000.0,,
9,AM3D.DE,EUR,EUR,XETRA,SLM Solutions Group AG,SLM SOLUTIONS GRP AG,Europe/Berlin,278949056,13.14,0.8870753126940477,0.8870753126940477,314459270.8288,14.812722,429.0,LÃ¼beck,Germany,72639000.0,66789000.0,52330000.0,75014000.0,85625000.0,-24739000.0,-30252000.0,-47055000.0,-13382000.0,-3741000.0,,,,,,21229000,81885944.7,75291239.7,58991609.0,84563282.2,96525062.5,-27888274.7,-34103079.6,-53045101.5,-15085528.6,-4217229.3,,,,,
10,PRLB,USD,USD,NYSE,"Proto Labs, Inc.","Proto Labs, Inc.",America/New_York,1285123584,46.58,1.0,1.0,1285123584.0,46.58,2408.0,Maple Plain,United States,469724000.0,434395000.0,458728000.0,445596000.0,344490000.0,31041000.0,50867000.0,63655000.0,76588000.0,51778000.0,45245000.0,36940000.0,32692000.0,28735000.0,23560000.0,27589600,469724000.0,434395000.0,458728000.0,445596000.0,344490000.0,31041000.0,50867000.0,63655000.0,76588000.0,51778000.0,45245000.0,36940000.0,32692000.0,28735000.0,23560000.0
11,MTLS,USD,EUR,NasdaqGS,Materialise NV,Materialise NV,America/New_York,1056107648,17.97,1.0,0.8870753126940477,1056107648.0,17.97,2163.0,Leuven,Belgium,193763000.0,170449000.0,196679000.0,184721000.0,142573000.0,6296000.0,-7124000.0,1586000.0,3027000.0,-2117000.0,26562000.0,25014000.0,23348000.0,22416000.0,19959000.0,58770600,218429029.9,192147157.7,221716236.7,208235983.3,160722542.9,7097480.8,-8030885.2,1787897.8,3412337.1,-2386494.1,29943342.6,28198282.2,26320200.4,25269556.8,22499780.7
12,VLD,USD,USD,NYSE,"Velo3D, Inc.","Velo3D, Inc.",America/New_York,1029381632,5.62,1.0,1.0,1029381632.0,5.62,99.0,Campbell,United States,,18975000.0,15223000.0,,,,-8756000.0,-25678000.0,,,,14188000.0,14593000.0,,,183164000,,18975000.0,15223000.0,,,,-8756000.0,-25678000.0,,,,14188000.0,14593000.0,,
13,MSVT.TA,ILA,USD,Tel Aviv,Massivit 3D Printing Technologies Ltd,MASSIVIT,Asia/Jerusalem,39640219648,1835.0,308.582,1.0,128459273.86561757,5.946555534671497,63.0,Lod,Israel,,4113000.0,10780000.0,13773000.0,,,-5472000.0,-7118000.0,-7047000.0,,,1122000.0,4157000.0,4348000.0,,21602300,,4113000.0,10780000.0,13773000.0,,,-5472000.0,-7118000.0,-7047000.0,,,1122000.0,4157000.0,4348000.0,
14,AAPL,USD,USD,NasdaqGS,Apple Inc.,Apple Inc.,America/New_York,2600763129856,159.22,1.0,1.0,2600763129856.0,159.22,154000.0,Cupertino,United States,,,,,,,,,,,,,,,,16334399488,,,,,,,,,,,,,,,
15,TSLA,USD,USD,NasdaqGS,"Tesla, Inc.","Tesla, Inc.",America/New_York,832631930880,829.1,1.0,1.0,832631930880.0,829.1,70757.0,Austin,United States,46848000000.0,31536000000.0,24578000000.0,21461000000.0,11759000000.0,3468000000.0,721000000.0,-862000000.0,-976000000.0,-1962000000.0,2375000000.0,1491000000.0,1343000000.0,1460000000.0,1378000000.0,1004259968,46848000000.0,31536000000.0,24578000000.0,21461000000.0,11759000000.0,3468000000.0,721000000.0,-862000000.0,-976000000.0,-1962000000.0,2375000000.0,1491000000.0,1343000000.0,1460000000.0,1378000000.0
16,1211.HK,HKD,CNY,HKSE,BYD Company Limited,BYD COMPANY,Asia/Hong_Kong,639868600320,219.8,7.801206422425263,6.376474762707354,82021749672.0303,28.17512934514402,224280.0,Shenzhen,China,196767416000.0,156597691000.0,127738523000.0,130054707000.0,105914702000.0,3263809000.0,4234267000.0,1614450000.0,2780194000.0,4066478000.0,7806842000.0,7464861000.0,5629372000.0,4989360000.0,3739491000.0,1098000000,30858338395.81536,24558662400.08625,20032781082.593693,20396020032.98461,16610228369.355331,511851629.8517014,664045128.0014468,253188487.38209844,436007998.6923013,637731372.1654934,1224319438.3294845,1170687766.798364,882834514.2873042,782463694.3880248,586451156.6595253
17,TCEHY,USD,CNY,Other OTC,Tencent Holdings Limited,TENCENT HOLDINGS LIMITED,America/New_York,571096629248,59.39,1.0,6.376474762707354,571096629248.0,59.39,107348.0,Shenzhen,China,549599000000.0,482064000000.0,377289000000.0,312694000000.0,237760000000.0,189166000000.0,159847000000.0,93310000000.0,78719000000.0,71510000000.0,,,,,,9604710400,86191668665.31259,75600393311.26012,59168900378.39793,49038694833.19885,37287060460.198654,29666235191.007484,25068240046.186806,14633477504.799532,12345222545.282545,11214660554.798141,,,,,
18,GE,USD,USD,NYSE,General Electric Company,General Electric Company,America/New_York,98722791424,89.9,1.0,1.0,98722791424.0,89.9,,Boston,United States,75755000000.0,79619000000.0,95214000000.0,97012000000.0,99279000000.0,-41000000.0,5704000000.0,-4979000000.0,-22355000000.0,-8484000000.0,4357000000.0,2565000000.0,3118000000.0,3415000000.0,3415000000.0,1098140032,75755000000.0,79619000000.0,95214000000.0,97012000000.0,99279000000.0,-41000000.0,5704000000.0,-4979000000.0,-22355000000.0,-8484000000.0,4357000000.0,2565000000.0,3118000000.0,3415000000.0,3415000000.0
19,SIE.DE,EUR,EUR,XETRA,Siemens Aktiengesellschaft,SIEMENS AG,Europe/Berlin,111061975040,138.42,0.8870753126940477,0.8870753126940477,125200164462.592,156.040866,303000.0,Munich,Germany,62266000000.0,,,,,6161000000.0,,,,,4858000000.0,,,,,802355008,70192461800.0,,,,,6945295300.0,,,,,5476423400.0,,,,
